team,P,W,D,L,GF,GA,GD,Pts,PPG,attack_idx,defense_idx,prior_strength
Brazil,4,3,1,0,9,2,7,10,2.5,1.52,0.34,90
France,3,3,0,0,10,2,8,9,3.0,2.25,0.45,92
Argentina,3,3,0,0,8,1,7,9,3.0,1.8,0.23,92
Mexico,3,3,0,0,6,0,6,9,3.0,1.35,0.0,75
Canada,4,2,1,1,9,3,6,7,1.75,1.52,0.51,71
Netherlands,3,2,1,0,10,4,6,7,2.33,2.25,0.9,86
Spain,3,2,1,0,5,0,5,7,2.33,1.13,0.0,91
Switzerland,3,2,1,0,7,3,4,7,2.33,1.58,0.68,76
England,3,2,1,0,6,2,4,7,2.33,1.35,0.45,89
Morocco,3,2,1,0,6,3,3,7,2.33,1.35,0.68,79
Colombia,3,2,1,0,4,1,3,7,2.33,0.9,0.23,79
Germany,3,2,0,1,10,4,6,6,2.0,2.25,0.9,85
USA,3,2,0,1,8,4,4,6,2.0,1.8,0.9,75
Ivory Coast,3,2,0,1,4,2,2,6,2.0,0.9,0.45,72
Norway,3,2,0,1,8,7,1,6,2.0,1.8,1.58,76
Croatia,3,2,0,1,5,5,0,6,2.0,1.13,1.13,80
Portugal,3,1,2,0,6,1,5,5,1.67,1.35,0.23,87
Belgium,3,1,2,0,6,2,4,5,1.67,1.35,0.45,82
Japan,4,1,2,1,8,5,3,5,1.25,1.35,0.84,75
Egypt,3,1,2,0,5,3,2,5,1.67,1.13,0.68,71
DR Congo,3,1,1,1,4,3,1,4,1.33,0.9,0.68,67
Australia,3,1,1,1,2,2,0,4,1.33,0.45,0.45,70
Ecuador,3,1,1,1,2,2,0,4,1.33,0.45,0.45,72
Sweden,3,1,1,1,7,7,0,4,1.33,1.58,1.58,72
Austria,3,1,1,1,6,6,0,4,1.33,1.35,1.35,73
Ghana,3,1,1,1,2,2,0,4,1.33,0.45,0.45,68
Bosnia & Herzegovina,3,1,1,1,5,6,-1,4,1.33,1.13,1.35,66
South Africa,4,1,1,2,2,4,-2,4,1.0,0.34,0.68,64
Paraguay,3,1,1,1,2,4,-2,4,1.33,0.45,0.9,68
Algeria,3,1,1,1,5,7,-2,4,1.33,1.13,1.58,70
Senegal,3,1,0,2,8,6,2,3,1.0,1.8,1.35,76
Iran,3,0,3,0,3,3,0,3,1.0,0.68,0.68,70
Cape Verde,3,0,3,0,2,2,0,3,1.0,0.45,0.45,62
South Korea,3,1,0,2,2,3,-1,3,1.0,0.45,0.68,71
Turkey,3,1,0,2,3,5,-2,3,1.0,0.68,1.13,65
Scotland,3,1,0,2,1,4,-3,3,1.0,0.23,0.9,69
Uruguay,3,0,2,1,3,4,-1,2,0.67,0.68,0.9,80
Saudi Arabia,3,0,2,1,1,5,-4,2,0.67,0.23,1.13,64
Czech Republic,3,0,1,2,2,6,-4,1,0.33,0.45,1.35,69
New Zealand,3,0,1,2,4,10,-6,1,0.33,0.9,2.25,60
Qatar,3,0,1,2,2,10,-8,1,0.33,0.45,2.25,63
Curacao,3,0,1,2,1,9,-8,1,0.33,0.23,2.03,56
Panama,3,0,0,3,0,4,-4,0,0.0,0.0,0.9,62
Jordan,3,0,0,3,3,8,-5,0,0.0,0.68,1.8,60
Haiti,3,0,0,3,2,8,-6,0,0.0,0.45,1.8,58
Uzbekistan,3,0,0,3,2,11,-9,0,0.0,0.45,2.48,63
Tunisia,3,0,0,3,2,12,-10,0,0.0,0.45,2.7,66
Iraq,3,0,0,3,1,12,-11,0,0.0,0.23,2.7,61
